query,intent,serp_features
best office chair,commercial,"reviews,people_also_ask"
robot vacuum in Utrecht,local,local_pack
contact x,navigational,sitelinks
buy coffee machine in Den Haag,local,"local_pack,shopping_ads"
gaming laptop in Rotterdam,local,local_pack
office chair price,transactional,shopping_ads
start a business guide,informational,people_also_ask
coffee machine near me,local,local_pack
netflix login,navigational,sitelinks
gaming laptop in Den Haag,local,local_pack
office chair nearby,local,local_pack
iphone 15 in Eindhoven,local,local_pack
how to lose weight,informational,"featured_snippet,people_also_ask"
protein powder discount,transactional,shopping_ads
coffee machine discount,transactional,shopping_ads
what is learn python,informational,featured_snippet
buy electric bike in Amsterdam,local,"local_pack,shopping_ads"
order protein powder online,transactional,"shopping_ads,product_listings"
iphone 15 nearby,local,local_pack
iphone 15 in Rotterdam,local,local_pack
robot vacuum nearby,local,local_pack
buy iphone 15 in Nijmegen,local,"local_pack,shopping_ads"
buy iphone 15 in Arnhem,local,"local_pack,shopping_ads"
buy gaming laptop in Den Haag,local,"local_pack,shopping_ads"
iphone 15 in Arnhem,local,local_pack
airpods pro in Eindhoven,local,local_pack
order gaming laptop online,transactional,"shopping_ads,product_listings"
contact linkedin,navigational,sitelinks
buy airpods pro in Groningen,local,"local_pack,shopping_ads"
contact spotify,navigational,sitelinks
buy gaming laptop in Arnhem,local,"local_pack,shopping_ads"
running shoes in my area,local,local_pack
what is invest in stocks,informational,featured_snippet
airpods pro comparison,commercial,people_also_ask
buy wireless headphones in Arnhem,local,"local_pack,shopping_ads"
iphone 15 comparison,commercial,people_also_ask
buy gaming laptop in Eindhoven,local,"local_pack,shopping_ads"
wireless headphones price,transactional,shopping_ads
protein powder in Arnhem,local,local_pack
buy gaming laptop in Rotterdam,local,"local_pack,shopping_ads"
buy running shoes in Arnhem,local,"local_pack,shopping_ads"
buy airpods pro in Utrecht,local,"local_pack,shopping_ads"
buy iphone 15 in Den Haag,local,"local_pack,shopping_ads"
buy robot vacuum in Amsterdam,local,"local_pack,shopping_ads"
how to invest in stocks,informational,"featured_snippet,people_also_ask"
gaming laptop in my area,local,local_pack
gaming laptop discount,transactional,shopping_ads
buy gaming laptop in Utrecht,local,"local_pack,shopping_ads"
iphone 15 in my area,local,local_pack
buy wireless headphones,transactional,"shopping_ads,product_listings"
airpods pro in Amsterdam,local,local_pack
buy wireless headphones in Utrecht,local,"local_pack,shopping_ads"
contact instagram,navigational,sitelinks
iphone 15 in Groningen,local,local_pack
best airpods pro,commercial,"reviews,people_also_ask"
electric bike in Utrecht,local,local_pack
buy protein powder in Den Haag,local,"local_pack,shopping_ads"
best running shoes,commercial,"reviews,people_also_ask"
gaming laptop review,commercial,reviews
buy office chair in Utrecht,local,"local_pack,shopping_ads"
buy office chair in Eindhoven,local,"local_pack,shopping_ads"
best gaming laptop,commercial,"reviews,people_also_ask"
buy office chair in Groningen,local,"local_pack,shopping_ads"
buy electric bike in Den Haag,local,"local_pack,shopping_ads"
buy robot vacuum in Groningen,local,"local_pack,shopping_ads"
robot vacuum comparison,commercial,people_also_ask
best coffee machine,commercial,"reviews,people_also_ask"
buy coffee machine in Arnhem,local,"local_pack,shopping_ads"
running shoes near me,local,local_pack
how to change a tire,informational,"featured_snippet,people_also_ask"
facebook login,navigational,sitelinks
running shoes in Groningen,local,local_pack
buy wireless headphones in Groningen,local,"local_pack,shopping_ads"
x login,navigational,sitelinks
buy running shoes in Eindhoven,local,"local_pack,shopping_ads"
buy protein powder in Utrecht,local,"local_pack,shopping_ads"
electric bike vs alternatives,commercial,people_also_ask
coffee machine review,commercial,reviews
coffee machine in Groningen,local,local_pack
linkedin login,navigational,sitelinks
running shoes vs alternatives,commercial,people_also_ask
protein powder price,transactional,shopping_ads
running shoes in Eindhoven,local,local_pack
robot vacuum discount,transactional,shopping_ads
buy wireless headphones in Nijmegen,local,"local_pack,shopping_ads"
robot vacuum in Eindhoven,local,local_pack
protein powder comparison,commercial,people_also_ask
running shoes in Arnhem,local,local_pack
buy airpods pro in Den Haag,local,"local_pack,shopping_ads"
buy office chair in Den Haag,local,"local_pack,shopping_ads"
airpods pro in my area,local,local_pack
linkedin customer service,navigational,sitelinks
electric bike in Amsterdam,local,local_pack
buy gaming laptop in Amsterdam,local,"local_pack,shopping_ads"
contact paypal,navigational,sitelinks
running shoes review,commercial,reviews
protein powder in Nijmegen,local,local_pack
buy electric bike in Groningen,local,"local_pack,shopping_ads"
order robot vacuum online,transactional,"shopping_ads,product_listings"
buy protein powder in Nijmegen,local,"local_pack,shopping_ads"
best iphone 15,commercial,"reviews,people_also_ask"
buy robot vacuum,transactional,"shopping_ads,product_listings"
buy electric bike in Arnhem,local,"local_pack,shopping_ads"
instagram customer service,navigational,sitelinks
wireless headphones in Arnhem,local,local_pack
protein powder in Eindhoven,local,local_pack
office chair in Amsterdam,local,local_pack
buy office chair in Nijmegen,local,"local_pack,shopping_ads"
buy coffee machine in Amsterdam,local,"local_pack,shopping_ads"
buy electric bike in Nijmegen,local,"local_pack,shopping_ads"
buy iphone 15 in Groningen,local,"local_pack,shopping_ads"
robot vacuum in Groningen,local,local_pack
buy airpods pro in Eindhoven,local,"local_pack,shopping_ads"
office chair near me,local,local_pack
running shoes in Utrecht,local,local_pack
buy robot vacuum in Eindhoven,local,"local_pack,shopping_ads"
protein powder in Groningen,local,local_pack
buy robot vacuum in Den Haag,local,"local_pack,shopping_ads"
office chair vs alternatives,commercial,people_also_ask
protein powder in Amsterdam,local,local_pack
running shoes discount,transactional,shopping_ads
airpods pro price,transactional,shopping_ads
order coffee machine online,transactional,"shopping_ads,product_listings"
gaming laptop near me,local,local_pack
electric bike nearby,local,local_pack
buy robot vacuum in Nijmegen,local,"local_pack,shopping_ads"
what is build muscle,informational,featured_snippet
buy wireless headphones in Rotterdam,local,"local_pack,shopping_ads"
electric bike in Rotterdam,local,local_pack
airpods pro in Nijmegen,local,local_pack
buy protein powder in Amsterdam,local,"local_pack,shopping_ads"
coffee machine in Utrecht,local,local_pack
coffee machine in Den Haag,local,local_pack
iphone 15 price,transactional,shopping_ads
robot vacuum in Arnhem,local,local_pack
office chair review,commercial,reviews
protein powder in my area,local,local_pack
amazon login,navigational,sitelinks
electric bike in Groningen,local,local_pack
protein powder review,commercial,reviews
buy robot vacuum in Arnhem,local,"local_pack,shopping_ads"
wireless headphones in Eindhoven,local,local_pack
wireless headphones discount,transactional,shopping_ads
robot vacuum vs alternatives,commercial,people_also_ask
running shoes comparison,commercial,people_also_ask
buy electric bike in Utrecht,local,"local_pack,shopping_ads"
airpods pro discount,transactional,shopping_ads
wireless headphones in Amsterdam,local,local_pack
buy iphone 15 in Amsterdam,local,"local_pack,shopping_ads"
electric bike discount,transactional,shopping_ads
what is start a business,informational,featured_snippet
buy wireless headphones in Eindhoven,local,"local_pack,shopping_ads"
buy running shoes in Groningen,local,"local_pack,shopping_ads"
what is cook rice,informational,featured_snippet
robot vacuum near me,local,local_pack
wireless headphones nearby,local,local_pack
spotify login,navigational,sitelinks
running shoes nearby,local,local_pack
wireless headphones in Groningen,local,local_pack
protein powder in Den Haag,local,local_pack
electric bike review,commercial,reviews
what is lose weight,informational,featured_snippet
order electric bike online,transactional,"shopping_ads,product_listings"
coffee machine nearby,local,local_pack
best robot vacuum,commercial,"reviews,people_also_ask"
robot vacuum price,transactional,shopping_ads
protein powder in Utrecht,local,local_pack
iphone 15 in Nijmegen,local,local_pack
buy gaming laptop in Groningen,local,"local_pack,shopping_ads"
instagram login,navigational,sitelinks
running shoes in Rotterdam,local,local_pack
buy airpods pro in Rotterdam,local,"local_pack,shopping_ads"
spotify customer service,navigational,sitelinks
wireless headphones in my area,local,local_pack
airpods pro near me,local,local_pack
office chair in Rotterdam,local,local_pack
protein powder vs alternatives,commercial,people_also_ask
contact amazon,navigational,sitelinks
order wireless headphones online,transactional,"shopping_ads,product_listings"
office chair in my area,local,local_pack
airpods pro vs alternatives,commercial,people_also_ask
coffee machine in Nijmegen,local,local_pack
coffee machine price,transactional,shopping_ads
robot vacuum in Nijmegen,local,local_pack
amazon customer service,navigational,sitelinks
buy office chair in Rotterdam,local,"local_pack,shopping_ads"
wireless headphones review,commercial,reviews
buy running shoes in Amsterdam,local,"local_pack,shopping_ads"
coffee machine in my area,local,local_pack
buy airpods pro,transactional,"shopping_ads,product_listings"
contact facebook,navigational,sitelinks
wireless headphones vs alternatives,commercial,people_also_ask
electric bike comparison,commercial,people_also_ask
gaming laptop nearby,local,local_pack
electric bike in my area,local,local_pack
buy robot vacuum in Utrecht,local,"local_pack,shopping_ads"
running shoes in Amsterdam,local,local_pack
best protein powder,commercial,"reviews,people_also_ask"
lose weight guide,informational,people_also_ask
office chair discount,transactional,shopping_ads
paypal login,navigational,sitelinks
robot vacuum in Den Haag,local,local_pack
paypal customer service,navigational,sitelinks
change a tire guide,informational,people_also_ask
buy protein powder in Arnhem,local,"local_pack,shopping_ads"
airpods pro in Groningen,local,local_pack
buy coffee machine,transactional,"shopping_ads,product_listings"
learn python guide,informational,people_also_ask
coffee machine in Arnhem,local,local_pack
buy gaming laptop,transactional,"shopping_ads,product_listings"
coffee machine in Amsterdam,local,local_pack
wireless headphones comparison,commercial,people_also_ask
robot vacuum in Rotterdam,local,local_pack
electric bike near me,local,local_pack
robot vacuum in Amsterdam,local,local_pack
gaming laptop in Eindhoven,local,local_pack
protein powder in Rotterdam,local,local_pack
how to start a business,informational,"featured_snippet,people_also_ask"
airpods pro nearby,local,local_pack
buy iphone 15 in Eindhoven,local,"local_pack,shopping_ads"
gaming laptop in Nijmegen,local,local_pack
buy airpods pro in Nijmegen,local,"local_pack,shopping_ads"
buy electric bike,transactional,"shopping_ads,product_listings"
buy coffee machine in Nijmegen,local,"local_pack,shopping_ads"
order office chair online,transactional,"shopping_ads,product_listings"
airpods pro in Arnhem,local,local_pack
office chair in Groningen,local,local_pack
what is change a tire,informational,featured_snippet
electric bike in Arnhem,local,local_pack
office chair in Arnhem,local,local_pack
coffee machine comparison,commercial,people_also_ask
best wireless headphones,commercial,"reviews,people_also_ask"
buy gaming laptop in Nijmegen,local,"local_pack,shopping_ads"
facebook customer service,navigational,sitelinks
buy airpods pro in Amsterdam,local,"local_pack,shopping_ads"
buy running shoes in Rotterdam,local,"local_pack,shopping_ads"
buy iphone 15 in Rotterdam,local,"local_pack,shopping_ads"
gaming laptop vs alternatives,commercial,people_also_ask
buy protein powder,transactional,"shopping_ads,product_listings"
wireless headphones in Rotterdam,local,local_pack
coffee machine in Rotterdam,local,local_pack
buy airpods pro in Arnhem,local,"local_pack,shopping_ads"
contact netflix,navigational,sitelinks
buy electric bike in Eindhoven,local,"local_pack,shopping_ads"
robot vacuum in my area,local,local_pack
office chair comparison,commercial,people_also_ask
iphone 15 in Den Haag,local,local_pack
netflix customer service,navigational,sitelinks
electric bike in Nijmegen,local,local_pack
x customer service,navigational,sitelinks
buy wireless headphones in Den Haag,local,"local_pack,shopping_ads"
order airpods pro online,transactional,"shopping_ads,product_listings"
gaming laptop in Groningen,local,local_pack
gaming laptop comparison,commercial,people_also_ask
buy protein powder in Eindhoven,local,"local_pack,shopping_ads"
how to build muscle,informational,"featured_snippet,people_also_ask"
airpods pro in Utrecht,local,local_pack
iphone 15 discount,transactional,shopping_ads
buy coffee machine in Utrecht,local,"local_pack,shopping_ads"
edit videos guide,informational,people_also_ask
cook rice guide,informational,people_also_ask
electric bike price,transactional,shopping_ads
coffee machine in Eindhoven,local,local_pack
buy robot vacuum in Rotterdam,local,"local_pack,shopping_ads"
buy office chair,transactional,"shopping_ads,product_listings"
buy iphone 15 in Utrecht,local,"local_pack,shopping_ads"
gaming laptop price,transactional,shopping_ads
coffee machine vs alternatives,commercial,people_also_ask
iphone 15 in Utrecht,local,local_pack
best electric bike,commercial,"reviews,people_also_ask"
buy iphone 15,transactional,"shopping_ads,product_listings"
office chair in Nijmegen,local,local_pack
airpods pro in Rotterdam,local,local_pack
running shoes in Den Haag,local,local_pack
buy electric bike in Rotterdam,local,"local_pack,shopping_ads"
office chair in Den Haag,local,local_pack
running shoes in Nijmegen,local,local_pack
buy coffee machine in Groningen,local,"local_pack,shopping_ads"
invest in stocks guide,informational,people_also_ask
buy protein powder in Rotterdam,local,"local_pack,shopping_ads"
build muscle guide,informational,people_also_ask
buy coffee machine in Rotterdam,local,"local_pack,shopping_ads"
robot vacuum review,commercial,reviews
how to cook rice,informational,"featured_snippet,people_also_ask"
wireless headphones in Nijmegen,local,local_pack
buy wireless headphones in Amsterdam,local,"local_pack,shopping_ads"
gaming laptop in Utrecht,local,local_pack
order running shoes online,transactional,"shopping_ads,product_listings"
order iphone 15 online,transactional,"shopping_ads,product_listings"
buy protein powder in Groningen,local,"local_pack,shopping_ads"
buy coffee machine in Eindhoven,local,"local_pack,shopping_ads"
protein powder nearby,local,local_pack
iphone 15 near me,local,local_pack
wireless headphones in Den Haag,local,local_pack
buy office chair in Arnhem,local,"local_pack,shopping_ads"
running shoes price,transactional,shopping_ads
buy office chair in Amsterdam,local,"local_pack,shopping_ads"
gaming laptop in Amsterdam,local,local_pack
gaming laptop in Arnhem,local,local_pack
buy running shoes in Den Haag,local,"local_pack,shopping_ads"
buy running shoes,transactional,"shopping_ads,product_listings"
airpods pro in Den Haag,local,local_pack
wireless headphones near me,local,local_pack
how to edit videos,informational,"featured_snippet,people_also_ask"
how to learn python,informational,"featured_snippet,people_also_ask"
iphone 15 review,commercial,reviews
electric bike in Den Haag,local,local_pack
electric bike in Eindhoven,local,local_pack
what is edit videos,informational,featured_snippet
office chair in Utrecht,local,local_pack
buy running shoes in Utrecht,local,"local_pack,shopping_ads"
office chair in Eindhoven,local,local_pack
airpods pro review,commercial,reviews
iphone 15 in Amsterdam,local,local_pack
buy running shoes in Nijmegen,local,"local_pack,shopping_ads"
wireless headphones in Utrecht,local,local_pack
iphone 15 vs alternatives,commercial,people_also_ask
protein powder near me,local,local_pack
